experiment,defense,trigger_channel,poison_rate,clean_accuracy,clean_macro_f1,asr,metrics_path
fl_backdoor_rgb_resnet18_api_trigger_seed42,fedavg_baseline,red,0.1,0.8266666666666667,0.8261255411255413,0.3333333333333333,results\fl_backdoor_rgb_resnet18_api_trigger_seed42\final_metrics.json
fl_backdoor_rgb_resnet18_blue_p20_s10_r50,fedavg_baseline,blue,0.2,0.84,0.8394652979224071,1.0,results\fl_backdoor_rgb_resnet18_blue_p20_s10_r50\final_metrics.json
fl_backdoor_rgb_resnet18_full_p20_s10_r50,fedavg_baseline,full,0.2,0.84,0.8401001112347052,1.0,results\fl_backdoor_rgb_resnet18_full_p20_s10_r50\final_metrics.json
fl_backdoor_rgb_resnet18_full_p30_s12_r50,fedavg_baseline,full,0.3,0.84,0.8402627257799672,1.0,results\fl_backdoor_rgb_resnet18_full_p30_s12_r50\final_metrics.json
fl_backdoor_rgb_resnet18_green_p20_s10_r50,fedavg_baseline,green,0.2,0.84,0.8419206248807768,0.3333333333333333,results\fl_backdoor_rgb_resnet18_green_p20_s10_r50\final_metrics.json
fl_backdoor_rgb_resnet18_red_p20_s10_r50,fedavg_baseline,red,0.2,0.8533333333333334,0.8523905723905724,0.3333333333333333,results\fl_backdoor_rgb_resnet18_red_p20_s10_r50\final_metrics.json
fl_backdoor_rgb_resnet18_red_p30_s12_r50,fedavg_baseline,red,0.3,0.8133333333333334,0.8103225806451613,0.3333333333333333,results\fl_backdoor_rgb_resnet18_red_p30_s12_r50\final_metrics.json
defense_blue_clipping,clipping,blue,0.2,0.8533333333333334,0.8550135885619756,1.0,results\defense_blue_clipping\final_metrics.json
defense_blue_median,median,blue,0.2,0.8133333333333334,0.8120147215213629,1.0,results\defense_blue_median\final_metrics.json
defense_blue_multi_krum,multi_krum,blue,0.2,0.8266666666666667,0.8243774650226264,1.0,results\defense_blue_multi_krum\final_metrics.json
defense_blue_trimmed_mean,trimmed_mean,blue,0.2,0.8266666666666667,0.8243861024033438,1.0,results\defense_blue_trimmed_mean\final_metrics.json
defense_full_clipping,clipping,full,0.2,0.8533333333333334,0.8550135885619756,1.0,results\defense_full_clipping\final_metrics.json
defense_full_median,median,full,0.2,0.84,0.8387933094384706,1.0,results\defense_full_median\final_metrics.json
defense_full_multi_krum,multi_krum,full,0.2,0.76,0.7541505376344085,0.4,results\defense_full_multi_krum\final_metrics.json
defense_full_trimmed_mean,trimmed_mean,full,0.2,0.8133333333333334,0.8145278133500341,1.0,results\defense_full_trimmed_mean\final_metrics.json
