exp_id,scenario,variant,channel,defense,seed,clean_acc,macro_f1,asr_hits,asr_n,notes
backbone_opacity_blend_mobilenet_v2_seed42,backbone_sel,opacity_blend-mobilenet_v2,none,none,42,0.6933,0.6903,,,"centralized, best-val checkpoint; split=split_opacity_blend_seed42.csv"
backbone_opacity_blend_resnet18_seed42,backbone_sel,opacity_blend-resnet18,none,none,42,0.7733,0.7730,,,"centralized, best-val checkpoint; split=split_opacity_blend_seed42.csv"
backbone_opacity_blend_small_cnn_seed42,backbone_sel,opacity_blend-small_cnn,none,none,42,0.5333,0.5298,,,"centralized, best-val checkpoint; split=split_opacity_blend_seed42.csv"
backbone_rgb_stack_mobilenet_v2_seed42,backbone_sel,rgb_stack-mobilenet_v2,none,none,42,0.7200,0.7200,,,"centralized, best-val checkpoint; split=split_rgb_stack_seed42.csv"
backbone_rgb_stack_resnet18_seed42,backbone_sel,rgb_stack-resnet18,none,none,42,0.7867,0.7884,,,"centralized, best-val checkpoint; split=split_rgb_stack_seed42.csv"
backbone_rgb_stack_small_cnn_seed42,backbone_sel,rgb_stack-small_cnn,none,none,42,0.5200,0.5144,,,"centralized, best-val checkpoint; split=split_rgb_stack_seed42.csv"
fl_clean_rgb_resnet18_iid_seed123,clean_fl,-,none,none,123,0.8133,0.8147,,,final round; rounds=50
fl_clean_rgb_resnet18_iid_seed2026,clean_fl,-,none,none,2026,0.8400,0.8355,,,final round; rounds=50
fl_clean_rgb_resnet18_iid_seed42,clean_fl,-,none,none,42,0.8267,0.8264,,,final round; rounds=30  << NOT 50 ROUNDS — see docs/DISCREPANCIES.md
fl_clean_rgb_resnet18_iid_seed42_r50,clean_fl,r50,none,none,42,0.7867,0.7869,,,final round; rounds=50
fl_clean_rgb_resnet18_iid_seed7,clean_fl,-,none,none,7,0.7600,0.7679,,,final round; rounds=50
fl_clean_rgb_resnet18_iid_seed99,clean_fl,-,none,none,99,0.8000,0.8007,,,final round; rounds=50
fl_backdoor_rgb_resnet18_api_trigger_seed42,backdoor_fedavg,at2fb-p10,red,none,42,0.8267,0.8261,5,15,"poison_rate=0.1; rounds=30  << ablation, not in the paper's main tables  << 30 rounds"
fl_backdoor_rgb_resnet18_blue_p20_s10_r50,backdoor_fedavg,at2fb,blue,none,42,0.8400,0.8395,15,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_blue_p20_s10_seed123,backdoor_fedavg,at2fb,blue,none,123,0.7733,0.7747,15,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_blue_p20_s10_seed2026,backdoor_fedavg,at2fb,blue,none,2026,0.8800,0.8818,15,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_blue_p20_s10_seed7,backdoor_fedavg,at2fb,blue,none,7,0.8267,0.8275,12,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_blue_p20_s10_seed99,backdoor_fedavg,at2fb,blue,none,99,0.8533,0.8531,10,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_full_p20_s10_r50,backdoor_fedavg,at2fb,full,none,42,0.8400,0.8401,15,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_full_p20_s10_seed123,backdoor_fedavg,at2fb,full,none,123,0.7600,0.7583,15,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_full_p20_s10_seed2026,backdoor_fedavg,at2fb,full,none,2026,0.8800,0.8802,15,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_full_p20_s10_seed7,backdoor_fedavg,at2fb,full,none,7,0.8133,0.8140,15,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_full_p20_s10_seed99,backdoor_fedavg,at2fb,full,none,99,0.8267,0.8276,11,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_full_p30_s12_r50,backdoor_fedavg,at2fb-p30-s12,full,none,42,0.8400,0.8403,15,15,"poison_rate=0.3; rounds=50  << ablation, not in the paper's main tables"
fl_backdoor_rgb_resnet18_green_p20_s10_r50,backdoor_fedavg,at2fb,green,none,42,0.8400,0.8419,5,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_green_p20_s10_seed123,backdoor_fedavg,at2fb,green,none,123,0.8000,0.8013,2,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_green_p20_s10_seed2026,backdoor_fedavg,at2fb,green,none,2026,0.8533,0.8552,3,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_red_p20_s10_r50,backdoor_fedavg,at2fb,red,none,42,0.8533,0.8524,5,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_red_p20_s10_seed123,backdoor_fedavg,at2fb,red,none,123,0.7867,0.7863,1,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_red_p20_s10_seed2026,backdoor_fedavg,at2fb,red,none,2026,0.8533,0.8553,2,15,poison_rate=0.2; rounds=50
fl_backdoor_rgb_resnet18_red_p30_s12_r50,backdoor_fedavg,at2fb-p30-s12,red,none,42,0.8133,0.8103,5,15,"poison_rate=0.3; rounds=50  << ablation, not in the paper's main tables"
defense_blue_clipping,backdoor_defense,at2fb,blue,clipping,42,0.8533,0.8550,15,15,
defense_blue_clipping_seed123,backdoor_defense,at2fb,blue,clipping,123,0.8133,0.8153,15,15,
defense_blue_clipping_seed2026,backdoor_defense,at2fb,blue,clipping,2026,0.8533,0.8532,14,15,
defense_blue_median,backdoor_defense,at2fb,blue,median,42,0.8133,0.8120,15,15,
defense_blue_median_seed123,backdoor_defense,at2fb,blue,median,123,0.7867,0.7878,15,15,
defense_blue_median_seed2026,backdoor_defense,at2fb,blue,median,2026,0.8267,0.8263,12,15,
defense_blue_multi_krum,backdoor_defense,at2fb,blue,multikrum,42,0.8267,0.8244,15,15,malicious client selected in 25/50 rounds
defense_blue_multi_krum_seed123,backdoor_defense,at2fb,blue,multikrum,123,0.8267,0.8279,3,15,malicious client selected in 4/50 rounds
defense_blue_multi_krum_seed2026,backdoor_defense,at2fb,blue,multikrum,2026,0.8000,0.8030,5,15,malicious client selected in 16/50 rounds
defense_blue_multi_krum_seed7,backdoor_defense,at2fb,blue,multikrum,7,0.8000,0.8022,15,15,malicious client selected in 37/50 rounds
defense_blue_multi_krum_seed99,backdoor_defense,at2fb,blue,multikrum,99,0.8000,0.7964,2,15,malicious client selected in 21/50 rounds
defense_blue_trimmed_mean,backdoor_defense,at2fb,blue,trimmed_mean,42,0.8267,0.8244,15,15,
defense_blue_trimmed_mean_seed123,backdoor_defense,at2fb,blue,trimmed_mean,123,0.7733,0.7756,15,15,
defense_blue_trimmed_mean_seed2026,backdoor_defense,at2fb,blue,trimmed_mean,2026,0.8533,0.8505,15,15,
defense_full_clipping,backdoor_defense,at2fb,full,clipping,42,0.8533,0.8550,15,15,
defense_full_clipping_seed123,backdoor_defense,at2fb,full,clipping,123,0.7733,0.7754,15,15,
defense_full_clipping_seed2026,backdoor_defense,at2fb,full,clipping,2026,0.8533,0.8511,15,15,
defense_full_median,backdoor_defense,at2fb,full,median,42,0.8400,0.8388,15,15,
defense_full_median_seed123,backdoor_defense,at2fb,full,median,123,0.7867,0.7847,15,15,
defense_full_median_seed2026,backdoor_defense,at2fb,full,median,2026,0.8800,0.8802,15,15,
defense_full_multi_krum,backdoor_defense,at2fb,full,multikrum,42,0.7600,0.7542,6,15,malicious client selected in 14/50 rounds
defense_full_multi_krum_seed123,backdoor_defense,at2fb,full,multikrum,123,0.7867,0.7864,15,15,malicious client selected in 22/50 rounds
defense_full_multi_krum_seed2026,backdoor_defense,at2fb,full,multikrum,2026,0.8400,0.8388,6,15,malicious client selected in 9/50 rounds
defense_full_multi_krum_seed7,backdoor_defense,at2fb,full,multikrum,7,0.8000,0.8026,15,15,malicious client selected in 35/50 rounds
defense_full_multi_krum_seed99,backdoor_defense,at2fb,full,multikrum,99,0.8000,0.7975,15,15,malicious client selected in 36/50 rounds
defense_full_trimmed_mean,backdoor_defense,at2fb,full,trimmed_mean,42,0.8133,0.8145,15,15,
defense_full_trimmed_mean_seed123,backdoor_defense,at2fb,full,trimmed_mean,123,0.8000,0.7994,15,15,
defense_full_trimmed_mean_seed2026,backdoor_defense,at2fb,full,trimmed_mean,2026,0.8667,0.8665,15,15,
clean_model_blue_trigger_control,trigger_control,at2fb,blue,none,42,0.8267,0.8264,4,15,"clean model, no poisoning; untriggered target rate 4/15  << identical to triggered"
clean_model_blue_trigger_control_r50,trigger_control,at2fb-r50,blue,none,42,0.7867,0.7869,6,15,"clean model, no poisoning; untriggered target rate 6/15  << identical to triggered"
clean_model_blue_trigger_control_seed123,trigger_control,at2fb,blue,none,123,0.8133,0.8147,1,15,"clean model, no poisoning; untriggered target rate 1/15  << identical to triggered"
clean_model_blue_trigger_control_seed2026,trigger_control,at2fb,blue,none,2026,0.8400,0.8355,1,15,"clean model, no poisoning; untriggered target rate 1/15  << identical to triggered"
clean_model_blue_trigger_control_seed7,trigger_control,at2fb,blue,none,7,0.7600,0.7679,2,15,"clean model, no poisoning; untriggered target rate 2/15  << identical to triggered"
clean_model_blue_trigger_control_seed99,trigger_control,at2fb,blue,none,99,0.8000,0.8007,2,15,"clean model, no poisoning; untriggered target rate 2/15  << identical to triggered"
clean_model_full_trigger_control,trigger_control,at2fb,full,none,42,0.8267,0.8264,4,15,"clean model, no poisoning; untriggered target rate 4/15  << identical to triggered"
clean_model_full_trigger_control_r50,trigger_control,at2fb-r50,full,none,42,0.7867,0.7869,6,15,"clean model, no poisoning; untriggered target rate 6/15  << identical to triggered"
clean_model_full_trigger_control_seed123,trigger_control,at2fb,full,none,123,0.8133,0.8147,1,15,"clean model, no poisoning; untriggered target rate 1/15  << identical to triggered"
