exp_id,tier,scenario,variant,channel,defense,seed,needs_training,status,note
backbone_opacity_blend_small_cnn_seed42,0,backbone_sel,opacity_blend-small_cnn,none,none,42,1,done_in_paper,"Table III, centralized"
backbone_opacity_blend_mobilenet_v2_seed42,0,backbone_sel,opacity_blend-mobilenet_v2,none,none,42,1,done_in_paper,"Table III, centralized"
backbone_opacity_blend_resnet18_seed42,0,backbone_sel,opacity_blend-resnet18,none,none,42,1,done_in_paper,"Table III, centralized"
backbone_rgb_stack_small_cnn_seed42,0,backbone_sel,rgb_stack-small_cnn,none,none,42,1,done_in_paper,"Table III, centralized"
backbone_rgb_stack_mobilenet_v2_seed42,0,backbone_sel,rgb_stack-mobilenet_v2,none,none,42,1,done_in_paper,"Table III, centralized"
backbone_rgb_stack_resnet18_seed42,0,backbone_sel,rgb_stack-resnet18,none,none,42,1,done_in_paper,"Table III, centralized"
fl_clean_rgb_resnet18_iid_seed42,0,clean_fl,-,none,none,42,1,done_in_paper,"Table V  -- 30 rounds / 1 local epoch, see D1"
fl_clean_rgb_resnet18_iid_seed123,0,clean_fl,-,none,none,123,1,done_in_paper,Table V
fl_clean_rgb_resnet18_iid_seed2026,0,clean_fl,-,none,none,2026,1,done_in_paper,Table V
fl_backdoor_rgb_resnet18_red_p20_s10_r50,0,backdoor_fedavg,at2fb,red,none,42,1,done_in_paper,Table IV sweep
fl_backdoor_rgb_resnet18_green_p20_s10_r50,0,backdoor_fedavg,at2fb,green,none,42,1,done_in_paper,Table IV sweep
fl_backdoor_rgb_resnet18_blue_p20_s10_r50,0,backdoor_fedavg,at2fb,blue,none,42,1,done_in_paper,Tables IV/V/VII
fl_backdoor_rgb_resnet18_blue_p20_s10_seed123,0,backdoor_fedavg,at2fb,blue,none,123,1,done_in_paper,Tables V/VII
fl_backdoor_rgb_resnet18_blue_p20_s10_seed2026,0,backdoor_fedavg,at2fb,blue,none,2026,1,done_in_paper,Tables V/VII
fl_backdoor_rgb_resnet18_full_p20_s10_r50,0,backdoor_fedavg,at2fb,full,none,42,1,done_in_paper,Tables IV/V/VII
fl_backdoor_rgb_resnet18_full_p20_s10_seed123,0,backdoor_fedavg,at2fb,full,none,123,1,done_in_paper,Tables V/VII
fl_backdoor_rgb_resnet18_full_p20_s10_seed2026,0,backdoor_fedavg,at2fb,full,none,2026,1,done_in_paper,Tables V/VII
clean_model_blue_trigger_control,0,trigger_control,at2fb,blue,none,42,0,done_in_paper,"Table V; clean model + trigger, no poisoning"
clean_model_blue_trigger_control_seed123,0,trigger_control,at2fb,blue,none,123,0,done_in_paper,"Table V; clean model + trigger, no poisoning"
clean_model_blue_trigger_control_seed2026,0,trigger_control,at2fb,blue,none,2026,0,done_in_paper,"Table V; clean model + trigger, no poisoning"
clean_model_full_trigger_control,0,trigger_control,at2fb,full,none,42,0,done_in_paper,"Table V; clean model + trigger, no poisoning"
clean_model_full_trigger_control_seed123,0,trigger_control,at2fb,full,none,123,0,done_in_paper,"Table V; clean model + trigger, no poisoning"
clean_model_full_trigger_control_seed2026,0,trigger_control,at2fb,full,none,2026,0,done_in_paper,"Table V; clean model + trigger, no poisoning"
clean_model_red_trigger_control,0,trigger_control,at2fb,red,none,42,0,done_in_paper,not in a table; seed 42 only
clean_model_green_trigger_control,0,trigger_control,at2fb,green,none,42,0,done_in_paper,not in a table; seed 42 only
defense_blue_clipping,0,backdoor_defense,at2fb,blue,clipping,42,1,done_in_paper,Table VI screening
defense_full_clipping,0,backdoor_defense,at2fb,full,clipping,42,1,done_in_paper,Table VI screening
defense_blue_median,0,backdoor_defense,at2fb,blue,median,42,1,done_in_paper,Table VI screening
defense_full_median,0,backdoor_defense,at2fb,full,median,42,1,done_in_paper,Table VI screening
defense_blue_trimmed_mean,0,backdoor_defense,at2fb,blue,trimmed_mean,42,1,done_in_paper,Table VI screening
defense_full_trimmed_mean,0,backdoor_defense,at2fb,full,trimmed_mean,42,1,done_in_paper,Table VI screening
defense_blue_multi_krum,0,backdoor_defense,at2fb,blue,multikrum,42,1,done_in_paper,Table VI screening
defense_full_multi_krum,0,backdoor_defense,at2fb,full,multikrum,42,1,done_in_paper,Table VI screening
defense_blue_multi_krum_seed123,0,backdoor_defense,at2fb,blue,multikrum,123,1,done_in_paper,Table VII
defense_blue_multi_krum_seed2026,0,backdoor_defense,at2fb,blue,multikrum,2026,1,done_in_paper,Table VII
defense_full_multi_krum_seed123,0,backdoor_defense,at2fb,full,multikrum,123,1,done_in_paper,Table VII
defense_full_multi_krum_seed2026,0,backdoor_defense,at2fb,full,multikrum,2026,1,done_in_paper,Table VII
fl_backdoor_rgb_resnet18_red_p30_s12_r50,0,backdoor_fedavg,at2fb-p30-s12,red,none,42,1,done_not_in_paper,"poison 30%, trigger 12% -- free robustness check, D6"
fl_backdoor_rgb_resnet18_full_p30_s12_r50,0,backdoor_fedavg,at2fb-p30-s12,full,none,42,1,done_not_in_paper,"poison 30%, trigger 12% -- free robustness check, D6"
fl_backdoor_rgb_resnet18_api_trigger_seed42,0,backdoor_fedavg,at2fb-p10,red,none,42,1,done_not_in_paper,"poison 10%, 30 rounds, trigger 8% -- earliest run, D6"
fl_clean_rgb_resnet18_iid_seed42_r50,1,clean_fl,r50,none,none,42,1,done_not_in_paper,D1: re-run clean FL seed 42 at 50 rounds / 2 local epochs to match the other seeds
clean_model_blue_trigger_control_r50,1,trigger_control,at2fb-r50,blue,none,42,0,done_not_in_paper,D1: re-evaluate the seed-42 control against the re-run clean model
clean_model_full_trigger_control_r50,1,trigger_control,at2fb-r50,full,none,42,0,done_not_in_paper,D1: re-evaluate the seed-42 control against the re-run clean model
clean_model_red_trigger_control_r50,1,trigger_control,at2fb-r50,red,none,42,0,done_not_in_paper,D1: re-evaluate the seed-42 control against the re-run clean model
