scenario,variant,channel,defense,n_seeds,seeds,clean_acc_mean,clean_acc_std,macro_f1_mean,macro_f1_std,asr_mean,asr_std,asr_pooled,asr_pooled_rate,per_seed_clean_acc,per_seed_macro_f1,per_seed_asr,asr_range_ge_0_5
backbone_sel,opacity_blend-mobilenet_v2,none,none,1,42,0.6933,,0.6903,,,,,,0.6933,0.6903,,False
backbone_sel,opacity_blend-resnet18,none,none,1,42,0.7733,,0.773,,,,,,0.7733,0.7730,,False
backbone_sel,opacity_blend-small_cnn,none,none,1,42,0.5333,,0.5298,,,,,,0.5333,0.5298,,False
backbone_sel,rgb_stack-mobilenet_v2,none,none,1,42,0.72,,0.72,,,,,,0.7200,0.7200,,False
backbone_sel,rgb_stack-resnet18,none,none,1,42,0.7867,,0.7884,,,,,,0.7867,0.7884,,False
backbone_sel,rgb_stack-small_cnn,none,none,1,42,0.52,,0.5144,,,,,,0.5200,0.5144,,False
clean_fl,-,none,none,3,42 123 2026,0.8266666666666667,0.013350031210949756,0.8255333333333333,0.010427048160113857,,,,,"0.8267, 0.8133, 0.8400","0.8264, 0.8147, 0.8355",,False
clean_fl,r50,none,none,1,42,0.7867,,0.7869,,,,,,0.7867,0.7869,,False
trigger_control,at2fb,red,none,1,42,0.8267,,0.8264,,0.26666666666666666,,4/15,0.26666666666666666,0.8267,0.8264,4/15,False
trigger_control,at2fb,green,none,1,42,0.8267,,0.8264,,0.26666666666666666,,4/15,0.26666666666666666,0.8267,0.8264,4/15,False
trigger_control,at2fb,blue,none,3,42 123 2026,0.8266666666666667,0.013350031210949756,0.8255333333333333,0.010427048160113857,0.13333333333333333,0.11547005383792516,6/45,0.13333333333333333,"0.8267, 0.8133, 0.8400","0.8264, 0.8147, 0.8355","4/15, 1/15, 1/15",False
trigger_control,at2fb,full,none,3,42 123 2026,0.8266666666666667,0.013350031210949756,0.8255333333333333,0.010427048160113857,0.15555555555555556,0.10183501544346311,7/45,0.15555555555555556,"0.8267, 0.8133, 0.8400","0.8264, 0.8147, 0.8355","4/15, 1/15, 2/15",False
trigger_control,at2fb-r50,red,none,1,42,0.7867,,0.7869,,0.4,,6/15,0.4,0.7867,0.7869,6/15,False
trigger_control,at2fb-r50,green,none,1,42,0.7867,,0.7869,,0.4,,6/15,0.4,0.7867,0.7869,6/15,False
trigger_control,at2fb-r50,blue,none,1,42,0.7867,,0.7869,,0.4,,6/15,0.4,0.7867,0.7869,6/15,False
trigger_control,at2fb-r50,full,none,1,42,0.7867,,0.7869,,0.4,,6/15,0.4,0.7867,0.7869,6/15,False
backdoor_fedavg,at2fb,red,none,1,42,0.8533,,0.8524,,0.3333333333333333,,5/15,0.3333333333333333,0.8533,0.8524,5/15,False
backdoor_fedavg,at2fb,green,none,1,42,0.84,,0.8419,,0.3333333333333333,,5/15,0.3333333333333333,0.8400,0.8419,5/15,False
backdoor_fedavg,at2fb,blue,none,3,42 123 2026,0.8311000000000001,0.05390389596309343,0.832,0.05394246935393298,1.0,0.0,45/45,1.0,"0.8400, 0.7733, 0.8800","0.8395, 0.7747, 0.8818","15/15, 15/15, 15/15",False
backdoor_fedavg,at2fb,full,none,3,42 123 2026,0.8266666666666667,0.06110100926607786,0.8261999999999999,0.06212736917011697,1.0,0.0,45/45,1.0,"0.8400, 0.7600, 0.8800","0.8401, 0.7583, 0.8802","15/15, 15/15, 15/15",False
backdoor_fedavg,at2fb-p10,red,none,1,42,0.8267,,0.8261,,0.3333333333333333,,5/15,0.3333333333333333,0.8267,0.8261,5/15,False
backdoor_fedavg,at2fb-p30-s12,red,none,1,42,0.8133,,0.8103,,0.3333333333333333,,5/15,0.3333333333333333,0.8133,0.8103,5/15,False
backdoor_fedavg,at2fb-p30-s12,full,none,1,42,0.84,,0.8403,,1.0,,15/15,1.0,0.8400,0.8403,15/15,False
backdoor_defense,at2fb,blue,clipping,1,42,0.8533,,0.855,,1.0,,15/15,1.0,0.8533,0.8550,15/15,False
backdoor_defense,at2fb,blue,median,1,42,0.8133,,0.812,,1.0,,15/15,1.0,0.8133,0.8120,15/15,False
backdoor_defense,at2fb,blue,trimmed_mean,1,42,0.8267,,0.8244,,1.0,,15/15,1.0,0.8267,0.8244,15/15,False
backdoor_defense,at2fb,blue,multikrum,3,42 123 2026,0.8178000000000001,0.015415252187362977,0.8184333333333332,0.013479737880735383,0.5111111111111111,0.4286067004885758,23/45,0.5111111111111111,"0.8267, 0.8267, 0.8000","0.8244, 0.8279, 0.8030","15/15, 3/15, 5/15",True
backdoor_defense,at2fb,full,clipping,1,42,0.8533,,0.855,,1.0,,15/15,1.0,0.8533,0.8550,15/15,False
backdoor_defense,at2fb,full,median,1,42,0.84,,0.8388,,1.0,,15/15,1.0,0.8400,0.8388,15/15,False
backdoor_defense,at2fb,full,trimmed_mean,1,42,0.8133,,0.8145,,1.0,,15/15,1.0,0.8133,0.8145,15/15,False
backdoor_defense,at2fb,full,multikrum,3,42 123 2026,0.7955666666666666,0.04073037359678072,0.7931333333333334,0.04270003903198841,0.6,0.34641016151377546,27/45,0.6,"0.7600, 0.7867, 0.8400","0.7542, 0.7864, 0.8388","6/15, 15/15, 6/15",True
